feature,importance
Pier Shape_Cirular,0.29479016344820896
Bridge Age,0.26599552932945925
Pier Shape_Square,0.15467659099119466
Roadway Width (ft),0.08129779426505598
Total Length (ft),0.0688204144192331
Max Span Length (ft),0.05959178715926817
Pier Shape_Wall,0.03964124484691414
Girder Type_T-beam,0.016959746828678048
Girder Type_Pan,0.005566024604506139
Girder Type_PCI,0.00418008119149273
Pier size/dia (in),0.0036403188090258554
Girder Type_PCB,0.002489461666049986
Girder Type_Type IV,0.0011670975834904517
Girder Type_Steel I,0.0011322097706424846
Girder Type_Type C,3.5750345238638196e-05
Girder Type_STEEL,1.5784741541401102e-05
Girder Type_PCBox,0.0
Girder Type_Steel I ,0.0
Girder Type_Type B,0.0
