check,train_fraction,metric,missing_rate,noise_scale_sd,bootstrap_id
data_size,0.4,1.0,,,
data_size,0.4,1.0,,,
data_size,0.4,1.0,,,
data_size,0.6,0.8888888888888888,,,
data_size,0.6,0.8888888888888888,,,
data_size,0.6,1.0,,,
data_size,0.8,1.0,,,
data_size,0.8,0.9166666666666666,,,
data_size,0.8,1.0,,,
data_size,1.0,1.0,,,
data_size,1.0,0.9333333333333333,,,
data_size,1.0,1.0,,,
missing_data,,1.0,0.1,,
missing_data,,1.0,0.1,,
missing_data,,0.9333333333333333,0.1,,
missing_data,,0.9333333333333333,0.2,,
missing_data,,1.0,0.2,,
missing_data,,0.8666666666666667,0.2,,
missing_data,,0.9333333333333333,0.3,,
missing_data,,0.8666666666666667,0.3,,
missing_data,,0.8666666666666667,0.3,,
perturbation,,1.0,,0.025,
perturbation,,1.0,,0.025,
perturbation,,1.0,,0.025,
perturbation,,1.0,,0.05,
perturbation,,1.0,,0.05,
perturbation,,1.0,,0.05,
perturbation,,1.0,,0.1,
perturbation,,1.0,,0.1,
perturbation,,1.0,,0.1,
bootstrap,,1.0,,,0.0
bootstrap,,1.0,,,1.0
bootstrap,,0.9333333333333333,,,2.0
bootstrap,,1.0,,,3.0
bootstrap,,1.0,,,4.0
bootstrap,,1.0,,,5.0
bootstrap,,1.0,,,6.0
bootstrap,,1.0,,,7.0
bootstrap,,1.0,,,8.0
bootstrap,,1.0,,,9.0
bootstrap,,1.0,,,10.0
bootstrap,,1.0,,,11.0
bootstrap,,1.0,,,12.0
bootstrap,,1.0,,,13.0
bootstrap,,0.9333333333333333,,,14.0
bootstrap,,1.0,,,15.0
bootstrap,,1.0,,,16.0
bootstrap,,1.0,,,17.0
bootstrap,,1.0,,,18.0
bootstrap,,1.0,,,19.0
